question,answer,keywords
1. 进入 “资源管理” > “数据源”，创建数据...,1. 进入 “资源管理” > “数据源”，创建数据源（如：testdb）。 创建数据源时，在数据源的“慢SQL监视”页签，开启“监视慢SQL”。 2. 进入“诊断管理”>“快照文件”，创建采集模板（如：shottemplate）。“监视信息” 选择 “数据源” > “慢SQL数”。 3. 进入“诊断管理”>“预警策略”，创建预警策略。 在基本属性标签输入预警策略名称，“是否启用”选择开启，开启后才能启动预警策略。 在触发条件标签，输入数据源慢SQL数，设置慢SQL数的阈值，大于0时系统根据设置的阈值，触发预警。然后勾选监控慢SQL数的数据源，注意当阈值大于0时生效。 在处理办法标签，生成快照下拉选择已创建的采集模板（如：shottemplate），并根据需要配置保留文件个数。 4. 单击“添加”，完成预警策略的创建。若触发预警条件，即可进入“诊断管理”>“快照文件”，下载预警快照生成的快照文件。,
死锁线程可以汇总死锁的线程，可查看死锁等待对象监视...,死锁线程可以汇总死锁的线程，可查看死锁等待对象监视器或者同步器的线程栈，并可尝试中断死锁的线程。 进入TongWeb死锁线程页面操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择 “诊断管理” > “死锁线程”，进入死锁线程页面。 死锁线程列表查看：在死锁线程列表可以查看死锁线程的线程ID、线程名、线程状态、等待的锁、锁占有线程ID、锁占有线程名等信息。 堆栈信息查看：单击目标线程的线程ID，可以查看该死锁线程的信息，包括其死锁的堆栈等。 强停死锁线程的操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择 “诊断管理” > “死锁线程”，进入死锁线程页面。 4. 单击目标线程所在行的“强停”，弹出确认强停死锁线程窗口。可以根据需要勾选一个或多个死锁线程，并单击列表上方的 “强停” 按钮，批量强停死锁线程。 5. 单击“确定”，即可停止线程。 注意：仅线程状态处于“WAITING”或者“TIMED_WAITING”的线程，才能强停,
阻塞线程该功能可以查看阻塞的堆栈及相同堆栈上阻塞的...,阻塞线程该功能可以查看阻塞的堆栈及相同堆栈上阻塞的线程。 注意：开启 EJB w3 协议后，默认的监听线程将从阻塞线程列表移除；若使用 JVisualVM（Java 虚拟机的监控工具）连接后，RMI 连接线程将从阻塞线程列表移除。 查看阻塞线程的操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择 “诊断管理” > “阻塞线程”，进入阻塞线程页面。 4. 您可以查看阻塞的堆栈及相同堆栈上阻塞的线程。 5. 单击阻塞线程ID，可查看阻塞线程的详细信息。 强停阻塞线程支持强制停止阻塞线程，操作步骤如下：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择 “诊断管理” > “阻塞线程”，进入阻塞线程页面。 4. 单击目标线程所在行的“强停”，弹出确认强停阻塞线程窗口。用户可根据需要勾选一个或多个阻塞线程，并单击列表上方的 “强停” 按钮，批量强停阻塞线程。 5. 单击“确定”，即可停止阻塞线程。,
忙碌线程功能用于检测忙碌的线程，可查看线程 ID、...,忙碌线程功能用于检测忙碌的线程，可查看线程 ID、信息、CPU 耗时、线程状态等信息。 查看忙碌线程的操作步骤：。 1. 登录 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择 “诊断管理” > “忙碌线程”，进入忙碌线程页面。 4. 您可以查看线程 ID、信息、CPU 耗时以及线程状态等。 5. 您可以在忙碌线程列表上方基于线程 ID、信息、CPU 耗时或者线程状态筛选指定线程。 支持筛选线程状态，线程状态包含 NEW、RUNNABLE、BLOCKED、WAITING、TIMED_WAITING、TERMINATED。 6. 单击忙碌线程名，可查看忙碌线程的详细信息。,
类加载结构用于查看系统内应用的类加载器及其加载路径...,类加载结构用于查看系统内应用的类加载器及其加载路径，目前也已支持显示公共类库中的 jar 文件。 查看类加载结构的操作步骤：。 1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 选择 “诊断管理” > “类加载结构”，进入类加载结构页面。 4. 用户可通过单击定位查看系统级或应用级的类加载器，在弹出的信息窗口中，可查看对象名和加载路径。,
类资源分析功能，在已部署的应用中，可以通过类资源分...,类资源分析功能，在已部署的应用中，可以通过类资源分析工具查找指定的类的加载信息，包括类的所有分布位置和实际加载的位置。 查看类资源分析的操作步骤：。 1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 选择“诊断管理”>“类资源分析”，进入类资源分析页面。 4. 输入待查找的类的全名称，并选择类所在的应用。更多参数说明，请参见类资源分析工具参数说明。 5. 单击“查找”，即可查找出类对应的分布位置、加载位置以及加载器等。,
JNDI（Java Naming and Dire...,JNDI（Java Naming and Directory Interface）是用于从Java应用中访问名称和目录服务的一组API，为开发人员提供了查找和访问各种命名资源和目录服务的通用、统一的接口。 命名资源即将名称与对象相关联，以便能通过相应名称访问这些对象，而目录服务即其对象具有属性及名称的命名服务。 例如：当创建一个JNDI名为“jdbc/oracleds”的数据源时，会在全局的JNDI命名空间中绑定名为“jdbc/oracleds”的数据源对象，在JNDI客户端可以通过JNDI API写入该对象的名称获取数据源对象。目前，TongWeb不支持集成第三方的JNDI服务。,
JNDI系统需要设置环境属性，来配置JNDI系统的...,JNDI系统需要设置环境属性，来配置JNDI系统的初始化上下文工厂、对象转换工厂等，一般分为本地JNDI 环境属性和远程JNDI环境属性两种。在JNDI环境属性中初始化上下文（InitialContext）工厂的配置尤为重要。,
• 访问本地JNDI资源 默认的本地 Initia...,"• 访问本地JNDI资源 默认的本地 InitialContext 所需的环境属性不需要设置。 若特殊使用场景下必须配置 java.naming.factory.initial 属性时，可以按如下方式配置，以访问本地JNDI 资源。代码示例：java.naming.factory.initial=com.tongweb.naming.java.javaURLContextFactory。 • 访问远程JNDI资源 远程的InitialContext所需的环境属性配置，如下所示。 <IP>需要修改为TongWeb所在的IP，<port>为EJB远程调用端口，如下以w3协议的默认端口“5200”为 例。 http协议默认为“8088”。 w3协议默认为“5200”，默认未开启。 代码示例：props.setProperty(""java.naming.factory.initial"",""com.tongweb.tongejb.client.RemoteInitialContextFactory""); props.setProperty(""java.naming.provider.url"", ""http://IP:port/ejbserver/ejb""); 设置上下文环境属性的代码示例，如下所示： Properties p = new Properties(); p.put(""java.naming.factory.initial"", ""com.tongweb.tongejb.client.RemoteInitialContextFactory""); p.put(""java.naming.provider.url"", ""http://10.10.4.28:8088/ejbserver/ejb ""); InitialContext ic = new InitialContext(p);",
JNDI分为4种命名空间（NameSpace），全...,JNDI分为4种命名空间（NameSpace），全局命名空间、组件命名空间、应用命名空间、模块命名空间。 • 全局命名空间，即本机或其他机器都可以访问的 JNDI 命名空间，其对应一个 TongWeb 实例。全局命名空间 java:global 中的名称可以被部署在同一个 TongWeb 实例中的所有应用共享。 • 组件命名空间是指只能在本组件内部访问的命名空间，即组件之间是相互隔离的。 • Java EE 7规范根据应用部署包的结构，又定义了模块命名空间和应用命名空间这两种新的命名空间。,
全局命名空间属性说明如下：。 • app-name：...,全局命名空间属性说明如下：。 • app-name：应用名称，即当前应用去掉后缀名的名称。 • module-name：主要针对部署格式为EAR的应用，即EAR中子模块的名称。 • bean-name：当前EJB的bean实现的类名称。 • full-qualified-interface-name：后面为“!”全包名，这部分是可选的。 示例说明一： 当前部署的WAR应用名为myweb.war，EJB name为MyBean，EJB实现接口为com.tw.IHello。可以通过查询以下JNDI名 java:global/myweb/MyBean 或 java:global/myweb/MyBean!com.tw.IHello 调用EJB。 示例说明二： 当前部署的 EAR 应用名为myear.ear，EJB 子模块的名称为 myejb.jar，EJB name 为 MyBean，EJB实现接口为 com.tw.IHello。可以通过查询JNDI名 java:global/myear/myejb/MyBean 或 java:global/myear/myejb/MyBean!com.tw.IHello 调用EJB。,
应用命名空间 java:app 中的名称可以被单个...,应用命名空间 java:app 中的名称可以被单个应用中的所有模块的组件共享。单个应用指的是一个单独的部署单元，比如单个 .ear 文件，单个单机部署的模块等。 例如：在同一个 .ear 文件中的一个 .war 文件和 EJB 的 .jar 文件都能访问 java:app 命名空间中的资源。 当前部署的EAR应用名为myear.ear，EJB子模块的名称为myejb.jar，EJB name为MyBean，EJB实现接口 为com.tw.IHello。在同一个EAR下面，所有的子模块可以通过查询以下JNDI名 java:app/myejb/MyBean 或 java:app/myejb/MyBean!com.tw.IHello 调用该EJB。,
模块命名空间 java:module 中的名称只能...,模块命名空间 java:module 中的名称只能被一个模块的所有组件共享。 例如，单个EJB模块中的所有企业Bean，或一个Web模块中的所有组件。 当前部署的EAR应用名为“myear.ear”，EJB name为MyBean，EJB实现接口为“com.tw.IHello”。那么在同一个EAR的同一个“myejb.jar”下面，其Java EE组件可以通过lookup以下JNDI名 java:module/MyBean 或 java:module/MyBean!com.tw.IHello 调用该EJB。,
组件命名空间的标准上下文环境是“java:comp...,组件命名空间的标准上下文环境是“java:comp/env”，应用组件使用“java:comp/env”查找对象时，不必关注对象真正的 JNDI 名称，只需要在部署描述文件中配置该对象的引用名到JNDI名的映射，即可降低应用组件代码与JNDI名称的耦合性。,
JNDI 树是以树型的结构展示TongWeb相关J...,JNDI 树是以树型的结构展示TongWeb相关JNDI资源，包括服务器资源域和应用域。 查看服务器资源域操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“JNDI”，进入 JNDI 页面。 4. 单击“server”，进入 JNDI 树 server 页面。 服务器资源域说明如下：。 • global：全局资源域。 • local：本地 EJB 域。 • remote：远程 EJB 域。 • 其它资源域：服务器内部 JNDI 资源。 查看应用域操作步骤，以部署的 “${tongweb.home}/version*/examples” 路径中 “examples.war” 为例说明：。 1. 登录 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择 “诊断管理” > “JNDI”，进入 JNDI 页面。 4. 单击 “localhost_examples”，进入 JNDI 树 localhost_examples 页面。 相关命名空间说明如下： 命名空间说明如下所示。 • global命名空间（全局命名空间） 所有应用资源的绑定空间，按照应用名分类存放。通过该空间可访问任何应用定义的资源，访问时需 要指定应用名（ear应用需要，web和ejb则不需要）来区分查找的应用。 • app命名空间（应用命名空间） 某个应用内部资源的绑定空间，按照模块名分类存放。通过该空间可访问到同一个应用下任何模块定 义的资源，访问时需要指定模块名来区分查找的模块。 • module命名空间（模块命名空间） 某个模块（ejb模块、web模块）内部资源的绑定空间。通过该空间可访问到同一个模块下的其他资 源。为兼容旧规范，java:module 命名空间下绑定了应用中所有模块定义的资源，访问时只需要指定 资源名即可（无需应用名和模块名）。 • comp命名空间（组件命名空间） 绑定了对任何一个组件可见的资源，包括服务提供的资源和应用自定义的资源。服务提供的资源绑定 在java:comp/命名空间下，应用自定义的资源绑定在java:comp/env命名空间下。,
1. UserTransaction：使用 Ton...,"1. UserTransaction：使用 TongWeb 的事务管理器，可以通过 javax.transaction.UserTransaction 接口对事务进行管理，UserTransaction 实例不需要创建，可以通过 JNDI 查找的方式获得。代码示例： InitialContext ic= new InitialContext(); UserTransaction ut = (UserTransaction)ic.lookup(""java:comp/UserTransaction""); ut.begin(); datasource = (DataSource)ic.lookup(""jdbc/oracle1""); conn = datasource.getConnection(); PreparedStatement prestate=conn.prepareStatement(sql); prestate.executeUpdate(); conn.close(); ut.commit();。 2. TransactionManager：对于用户的应用，推荐使用 UserTransaction 来管理事务。但在某些特殊应用场景下，存在必须使用TransactionManager 的情况。用户可以在应用中 lookup 这个 JNDI 名称来获取 TransactionManager。代码示例： InitialContext ic= new InitialContext(); TransactionManager txm=(TransactionManager) ic.lookup(""java:comp/TransactionManager ""); if(txm != null){ txm.begin(); Transaction tx = txm.getTransaction(); …… txm.commit(); }。 3. TransactionSynchronizationRegistry：TransactionSynchronizationRegistry注入事务同步资源，该接口应用在系统级应用服务器组件上，如：持久化管理、资源适配器、EJB和Web应用组件。 TongWeb 为 TransactionSynchronizationRegistry 绑定的JNDI名称为“java:comp/TransactionSynchronizationRegistry”。用户可以在应用中 lookup 这个 JNDI 名称来获取 TransactionSynchronizationRegistry。 代码示例： InitialContext ic= new InitialContext(); TransactionSynchronizationRegistry txm=( TransactionSynchronizationRegistry) ic.lookup (""java:comp/TransactionSynchronizationRegistry ""); if(txm != null){ txm.begin(); Transaction tx = txm.getTransaction(); …… txm.commit(); }",
Java客户端通过 InitialContext...,"Java客户端通过 InitialContext 环境属性访问 TongWeb 中已部署的 EJB 的 JNDI 名，具体的操作步骤如下 所示。 • http协议默认为“8088”。 • w3协议默认为“5200”，默认未开启。 如下以 w3 协议的默认端口“5200”为例：。 1. 登录 TongWeb 管理控制台。 2. 部署 EJB。 3. 编写 Java 客户端访问 EJB 应用代码。 public static void main(String[] args) { Properties p = new Properties(); p.put(""java.naming.factory.initial"", ""com.tongweb.tongejb.client.RemoteInitialContextFactory""); p.put(""java.naming.provider.url"", ""http://10.10.4.28:8088/ejbserver/ejb ""); StatelessSessionRemote ClientA; Context ctx; try { ctx = new InitialContext(p); ClientA = (StatelessSessionRemote) ctx.lookup(""StatelessSessionRemote""); ClientA.SetName(""ClientA""); System.out.print(""Invoke the remote interface of SLSB, result is= "" + ClientA.getName() +""<br>""); } catch (Exception e) { e.printStackTrace(); } }",
TongWeb8 控制台日志管理主要包含服务器日志...,TongWeb8 控制台日志管理主要包含服务器日志管理、访问日志管理、审计日志管理和日志推送。 服务器日志主要是对 TongWeb 服务器的日志进行配置。 访问日志主要是对 TongWeb 服务器的访问日志进行配置。 TongWeb服务器的审计日志，可用于追踪记录用户对服务器的操作。用户可通过配置查询条件，精确查找问题发生时的操作及详情，降低发现、定位、解决问题的时间和人力成本。TongWeb服务器的审计日志可查找包含管理员、操作对象、操作类型、操作结果、请求地址、客户端IP等信息，帮助用户快速、有效的定位并解决问题。 将 TongWeb 的运行日志实时推送到远端日志存储服务器（如 Elasticsearch）上，以便于统一管理。,
