关键字,问题描述,思考过程,答案
跨应用 Session 共享陷阱 (SharedSessionEnable),配置了 `-DSharedSessionContext=true` 和 `-DSharedSessionEnable=true` 期望实现 A、B 应用免登录跳转。但访问 B 时发现虽然 SessionID 一致，但获取到的 User 对象属性偶尔发生 `ClassCastException`。,"1.  **Session 存储实质**：`SharedSessionEnable` 让两个应用在内存中读写同一个 Map。
    2.  **类加载器隔离**：应用 A 存入的对象是由 A 的 ClassLoader 加载的。当应用 B 尝试读取并强制转换时，由于 B 的 ClassLoader 找不到对应的 A 内部类定义，或认为类型不匹配，从而抛出异常。
    3.  **解耦建议**：共享数据应为 Java 核心库类型（如 String, Map）。","1.  **参数确认**：确认已配置 `-DSharedSessionContext=true` 复用 Cookie 中的 ID。
    2.  **架构规范**：不要将自定义的 POJO 类对象直接存入共享 Session。推荐将用户信息序列化为 JSON 字符串存入，或将相关的 DataTransferObject (DTO) 类库放入 TongWeb 的 `lib` 全局公共目录，由 `CommonClassLoader` 加载。"
老版 Cookie 处理器与特殊字符 (useLegacyCookieProcessor),应用在某些浏览器下获取 Cookie 失败，或者报 `IllegalArgumentException: An invalid path [/;httponly]`。,"1.  **标准差异**：新版 `RFC6265` 严格限制了 Cookie 的路径、值中不能包含逗号、分号、等号等特殊字符。
    2.  **兼容性需求**：很多老应用在路径中使用了非法符号或特殊的属性组合。
    3.  **处理器切换**：TongWeb 提供了基于 RFC2109 的老版处理器。","1.  **开启兼容模式**：在应用配置或模板中将 `useLegacyCookieProcessor` 设置为 `true`。
    2.  **细项调优**：若需支持未加引号的值中包含等号，需配套开启 `allowEqualsInValue=true`。
    3.  **注意**：启用老版处理器后，需手工检查是否符合业务要求的 `HttpOnly` 标志。"
慢 SQL 监视与参数正则 (sqlForParamPrintRegex),开启慢 SQL 监视后，虽然在 `logs/sql` 目录看到了 SQL 语句，但由于语句全是预编译占位符（?），DBA 无法确定是哪个查询参数导致的全表扫描，要求显示真实数值。,"1.  **安全性冲突**：默认出于脱敏考虑不显示真实参数值。
    2.  **性能开销评估**：正则匹配和参数截取在高并发下非常耗 CPU。
    3.  **按需开启**：仅针对特定的表或特定模式的 SQL 进行精准记录。","1.  **配置正则**：在 `sqlForParamPrintRegex` 中输入需要捕获参数的 SQL 模式，如 `.*FROM USERS.*`。
    2.  **条件约束**：该功能必须在 `enableSlowQueryReport=true` 和 `logSlow=true` 开启时才生效。
    3.  **专家忠告**：生产环境严禁配置为 `.*`（全量记录），以防磁盘瞬间爆满和敏感数据泄露。"
优雅停机等待与连接隔离 (gracefulStopAwaitMillis),在进行滚动更新时，虽然控制台显示正在停止实例，但用户反馈正在支付的订单还是由于后端“连接被切断”而失败。,"1.  **强制性停机隐患**：默认停止可能是非阻塞或短时间内强杀进程。
    2.  **存量请求保护**：容器需要等待已接进来的 HTTP 线程完成业务逻辑后再销毁。
    3.  **超时控制**：必须给一个时间上限，防止挂起的僵尸请求让停机过程无限期延长。","1.  **设置等待阈值**：在全局配置中配置 `gracefulStopAwaitMillis=30000`（即 30 秒）。
    2.  **内部机制**：服务器收到停止信号后，连接器将停止接收新连接，但会持续监控活跃线程。若 30 秒内线程完成，则平滑退出；若超时，则强行中断。
    3.  **监控配合**：通过监视项 `activeCount` 观察停止前的负载水平，配合 THS 负载均衡器的故障转移（Failover）机制实现业务 0 中断。"
资源预压缩与 CPU 卸载 (preCompress),高并发访问静态页面时，服务器 CPU 占用极高且响应变慢。经过分析，大部分 CPU 时间消耗在 GZIP 压缩计算上。,"1.  **实时计算开销**：通道的 `compression=on` 是在每个请求响应时实时进行压缩处理的。
    2.  **空间换时间**：如果资源是静态的（如 .js, .css），可以在部署时预先生成压缩文件，访问时直接读取。
    3.  **缓存集成**：需要配合资源缓存功能。","1.  **开启预压缩**：在应用属性中设置 `preCompress=true`。
    2.  **生效条件**：必须同时开启资源缓存 `cachingAllowed=true`。
    3.  **调优效果**：系统会优先查找 `.gz` 扩展名的预压缩文件并返回，彻底免除 CPU 实时压缩静态内容的负担，性能提升可达 20% 以上。"
慢线程告警与中断阈值 (threshold & interruptThreadThreshold),某应用偶尔出现死锁。开启慢线程检测（`threshold=5000`）后，日志确实记录了大量 5 秒后的告警，但由于死锁线程不释放，http 线程池最终还是被占满挂掉了。,"1.  **被动监控不足**：告警只能让管理员事后知道，无法主动介入业务。
    2.  **主动熔断需求**：需要一种机制在线程阻塞过久且极度危险时尝试“强行中止”。
    3.  **风险控制**：中断可能导致事务不完整，必须设置大于告警阈值的值。","1.  **配置中断阈值**：在设置 `threshold=5000` 的同时，配置 `interruptThreadThreshold=15000`（15 秒）。
    2.  **工作原理**：超过 5 秒记日志，超过 15 秒 TongWeb 会尝试发送 `thread.interrupt()`。
    3.  **专家提醒**：仅针对可中断的任务有效，若应用陷入本地 native 死循环（如 regex 回溯）则无法中断。此时需配合“监视管理”中的“阻塞线程”手动“强停”功能。"
分布式事务 tmJoinEnabled 与性能 (tmJoinEnabled),在使用 JTA 协调跨库分布式事务时，应用响应极慢。通过数据库审计发现，同一个事务内居然建立了多个数据库物理连接会话。,"1.  **JTA 开销实质**：分布式事务涉及多阶段提交，连接开销巨大。
    2.  **连接合并逻辑**：当一个事务中多次访问同一个数据库时，若驱动支持探测状态，应当复用同一个事务分支（Branch）。
    3.  **默认参数检查**：若此开关被误关，会导致物理连接成倍增加。","1.  **确保开启合并**：在 JTA 事务配置中确认 `tmJoinEnabled=true`（默认值）。
    2.  **工作原理**：该参数允许同一事务内的多个资源分支根据驱动状态归并，从而极大减少事务提交时的两阶段锁定开销。
    3.  **配套调优**：确保数据源的 `JtaManaged=true` 且驱动为 XA 类型。"
归还连接时提交策略 (commitOnReturn),为了极致性能，用户关闭了数据源的 `defaultAutoCommit`。随后发现有的应用请求执行完后，数据并未入库，且连接回池后后续请求看到了脏数据。,"1.  **事务未决风险**：应用代码可能忘记显式调用 `connection.commit()`。
    2.  **清理机制对比**：`rollbackOnReturn`（默认开启）会清理未决事务但数据丢失；`commitOnReturn` 则会在回池时强制提交。
    3.  **优先级冲突**：这两个参数在逻辑上是互斥的。","1.  **配置提交策略**：若必须在回池时确保数据落盘，设置 `commitOnReturn=true`，此时必须先设置 `rollbackOnReturn=false`。
    2.  **适用场景**：仅建议用于那些代码中不规范、且确实希望“隐式提交”所有操作的应用场景。
    3.  **调优建议**：出于安全考虑，生产环境首选 `rollbackOnReturn=true` 强制回滚，迫使开发人员修正代码逻辑，以确保事务的严谨性。"
SpringBoot 静态资源位置映射 (SpringBoot主资源文件),将 SpringBoot 应用转换为 TongWeb WAR 包部署后，访问静态图片 404，原因是 TongWeb 无法自动识别 SpringBoot 的默认资源路径。,"1.  **打包格式差异**：SpringBoot 习惯将资源放于 `classpath:/static` 下。
    2.  **容器适配器**：TongWeb 在部署时需要知道哪个文件定义了主资源配置，以便自动挂载资源查找器。","1.  **显式指定文件**：在部署应用时，通过 `applicationPropertiesFile` 参数指定 SpringBoot 的主配置文件路径，如 `WEB-INF/classes/application.properties`。
    2.  **配合参数**：若涉及 SpringBoot 2.4+ 的属性配置，建议同步检查 `raPros` 应用属性配置，确保容器适配器能够正确解析内嵌容器的配置信息。"
HTTP/2 优先级与 ALPN (http2Enabled),配置了 `http2Enabled=true` 且开启了 SSL，但 Chrome 开发者工具显示协议依然是 `http/1.1`，无法利用多路复用优势。,"1.  **握手协商原理**：HTTP/2 的建立依赖于 TLS 握手中的 ALPN 扩展。
    2.  **JDK 版本限制**：早期 JDK 8 的底层安全库可能原生不支持 ALPN。
    3.  **中间件配置细项**：必须确保协议处理器使用了 `NIO2` 或 `NIO` 。","1.  **检查库依赖**：确保安装目录中包含对应的 ALPN 引导包，并在启动参数中注入。
    2.  **前置条件自检**：确认 `SSLEnabled=true` 且通道使用的是 `HTTP/1.1` 协议处理器类（H2 会在此基础上升级协议）。
    3.  **测试验证**：使用 `curl --http2` 命令进行测试，若回显 `h2` 标识则表示中间件层调优成功。"
,如何将大量依赖 Tomcat `context.xml` 定义 JNDI 资源的旧项目快速迁移到 TongWeb？,"1.  **手动配置成本**：逐个在控制台新建 JNDI 资源极易出错。
    2.  **工具化路径**：TongWeb 控制台提供了“SpringBoot/转换”功能模块，支持将 Tomcat 或旧版 SpringBoot 的 XML 配置映射为 TongWeb 的 JNDI 树。","1.  **利用转换模块**：进入“SpringBoot/转换”功能模块，上传原始的配置文件。
    2.  **映射策略**：工具会自动分析资源名称、类型及属性。转换完成后，需在“JNDI 资源”模块进行复核。
    3.  **JNDI 树验证**：调优后通过“监视管理 > JNDI 树”查看物理对象是否已挂载到 `/jdbc` 或 `/mail` 节点下，确保路径与应用 `lookup()` 代码一致。"
WebSocket 阻塞超时 (websocketBlockingTimeout),在线股票交易系统在高并发推送时，发现部分 WebSocket 会话由于客户端网络延迟，导致服务器端发送线程长时间处于 WAITING 状态，并占用了大量内存。,"1.  **阻塞发送风险**：默认的 WebSocket 发送操作可能是同步阻塞的。
    2.  **超时控制缺失**：若客户端不接收数据，服务器缓冲区会持续堆积。
    3.  **针对性调优**：需要设置发送响应的硬性超时上限。","1.  **配置发送超时**：在全局配置中调整 `websocketBlockingTimeout` 参数（推荐设为 10000ms）。
    2.  **调优效果**：当推送数据由于客户端不活跃而阻塞超过 10 秒后，TongWeb 会自动强行关闭该会话并释放相关内存资源，有效防止了由“僵尸 WebSocket 连接”引起的内存溢出。"
按大小轮转与文件个数 (rotationBySize & keepMaxFiles),生产系统开启了详细审计日志，但运维人员发现 `logs/audit` 目录下文件数多达上万个，且每个文件只有几 KB，极大影响了文件系统的 inode 效率。,"1.  **策略冲突分析**：可能同时开启了 `rotationDay`（按天轮转）和过小的 `rotationBySize`。
    2.  **日志量评估**：若每日产生的日志远小于 50MB，按天轮转产生的碎文件会很多。
    3.  **合理归并设计**：应增大单文件容量，同时限制总文件数以保障磁盘周转。","1.  **增大单文件限制**：设置 `rotationBySize=100`（100MB）。
    2.  **精简保留数**：设置 `keepMaxFiles=50`（保留最近 5GB 日志）。
    3.  **关闭冗余轮转**：若业务量平稳，可关闭 `rotationDay`，仅依靠大小进行物理切割，使单个日志文件包含更长跨度的业务信息，方便 grep 检索。"
网络数据监控与性能开销 (useNetworkMonitor),在高吞吐压力测试中，开启了通道的“网络数据监控”功能后，TPS 稳定下降了约 8%-12%，CPU 用户态占用（us%）明显上升。,"1.  **监控机制代价**：该功能需要在每次网络包读写时进行字节数累加、时间戳记录及慢请求判定。
    2.  **数据归零锁定**：长期运行产生的海量原子变量计数操作会产生多核同步锁竞争。
    3.  **优化策略**：仅在排查阶段开启，或延长数据归零周期。","1.  **生产环境建议**：在平稳运行期建议将 `useNetworkMonitor` 设为 `false`。
    2.  **必须开启时的优化**：若必须开启监控，设置 `resetMonitorData=true` 且 `resetMonitorDataPeriod=3600`（每小时归零一次）。
    3.  **调优原理**：定期清理累积的统计对象，可以有效减轻高并发下 64 位长整数原子操作带来的 CPU Cache 命中压力。"
JSP 首次访问提速 (jspPrecompileThreadCount),由于业务特殊性，开启了应用预编译（`jspPrecompile=true`）。但应用包含 500+ 个 JSP，部署过程极慢，且启动期间服务器 CPU 依然维持在低位，未能充分利用硬件性能。,"1.  **并行度瓶颈**：预编译默认使用 4 个线程。
    2.  **多核适配**：现代国产服务器核心数较多，4 线程明显无法喂饱 CPU。
    3.  **动态扩容**：需在部署阶段临时增大并行度。","1.  **配置多线程编译**：在应用模板或属性中，将 `jspPrecompileThreadCount` 调优为服务器核心数的 1.5 到 2 倍（如 32 核设为 48 或 64）。
    2.  **配套参数**：确保 `jspPrecompile=true` 开启。
    3.  **效果**：预编译过程将从“单核拖累”变为“全核加速”，大应用部署时长可从数分钟缩短至数十秒。"
,迁移一个旧版本的 Java EE 项目到 TongWeb 7/8 后，访问 JSP 报 `javax.el.ELException: The identifier [class] is not a valid Java identifier`。,"1.  **规范版本升级**：Java EE 7+ 的 EL 规范增强了对关键字的校验，禁止使用 `class` 等作为属性标识。
    2.  **重构成本评估**：修改成千上万个 JSP 变量名不现实。
    3.  **容器级降级**：通过系统属性放宽语法校验。","1.  **注入系统属性**：在 `external.vmoptions` 中增加启动参数。
    2.  **参数区别**：
        *   **TongWeb 6**：`-Dcom.tongweb.web.el.parser.SKIP_IDENTIFIER_CHECK=true`。
        *   **TongWeb 7/8**：`-Dcom.tongweb.el.parser.SKIP_IDENTIFIER_CHECK=true`。
    3.  **调优效果**：在不修改代码的情况下，允许应用继续沿用旧有的 EL 表达式风格，实现快速上线。"
AJP 协议与安全密钥 (ajp secret),使用 Apache 通过 AJP 协议反向代理 TongWeb 7。在升级 TongWeb 补丁后，反向代理失效，报 403 错误，且 TongWeb 日志提示 AJP 认证失败。,"1.  **协议漏洞补强**：Ghostcat 漏洞后，AJP 协议强制要求配置 secret 密钥以保障传输安全。
    2.  **双向配置核查**：不仅 TongWeb 要配，前端 Apache/THS 的 `workers.properties` 也必须同步。","1.  **TongWeb 配置**：进入通道管理，设置 `secret` 为一个强字符串。
    2.  **前端配合**：在 THS 或 Apache 的 `worker.worker1.secret` 中填入相同的值。
    3.  **进阶调优**：配置 `allowedRequestAttributesPattern` 正则表达式，严格限定允许通过 AJP 传递的请求属性，防止非法头注入。"
数据库初始化执行 SQL (initSQL),应用系统要求每次数据库连接建立后，必须首先执行一条 `SET SCHEMA 'APP_USER'` 指令，否则后续业务查询将因找不到表而报错。,"1.  **应用层介入困难**：框架（如 Hibernate）虽然有 `init` 方法，但不如在连接池底层直接实现效率高。
    2.  **容器初始化钩子**：TongWeb 数据源提供了物理连接建立后的初始化 SQL 功能。
    3.  **路径安全限制**：必须放置在指定目录下。","1.  **准备 SQL 文件**：在 `${tongweb.base}/conf/jdbc` 目录下新建 `init.sql` 文件。
    2.  **配置参数**：在数据源属性中，将 `initSQL` 设置为 `init.sql`。
    3.  **调优逻辑**：TongWeb 在每次创建数据库物理连接成功后，会自动读取并执行此文件中的语句，确保每个“入池”的连接都已处于正确的 Schema 环境下。"
滚动更新与会话不中断 (rollingUpdate),某具有 4 个实例的应用集群。管理员进行集群应用更新（update）操作时，所有用户瞬间掉线，导致严重的生产事故。,"1.  **并发操作危害**：默认配置下，集群对多实例的操作可能是“同时进行”的，导致全节点瞬间不可用。
    2.  **平滑升级机制**：需要开启“滚动更新”模式，让实例一个接一个地更新。
    3.  **效率权衡**：滚动更新慢，但保障了业务高可用。","1.  **开启滚动开关**：在集群配置中设置 `rollingUpdate=true`。
    2.  **操作逻辑**：TongWeb 将按顺序处理每个实例：停止 -> 更新应用 -> 启动 -> 等待就绪 -> 处理下一个。
    3.  **终极建议**：配合 THS 负载均衡器的 `ip_hash` 或 `sticky session` 功能，以及 TongDataGrid 开启会话复制，确保在滚动期间，用户请求能自动漂移到其他已就绪的节点，实现真正的“用户无感知升级”！"
基本配置(basic configurations),TongWeb在TPS超过1000的高并发高吞吐场景下，通道、数据源、系统日志的高性能调优参数推荐是什么?,从`通道`，`数据源`，`日志`三个维度进行推荐。,"通道配置:
1.线程:最大线程数调整为500(原200，提升并发处理能力)，最小备用线程数调整为50(原10，减少线程创建开销);
2.压缩:压缩级别保持on(开启传输压缩，降低网络带宽占用)。
·数据源配置(连接池):
1.最大连接数调整为300(原100，满足高并发下数据库连接需求);
2.初始连接数调整为50(原10，初始化足够连接应对突发流量);
3.最小空闲数调整为30(原10，维持基础空闲连接);
4.最大空闲数调整为200(原100，保留更多空闲连接避免频繁创建);
5.空闲容忍时间保持600000毫秒(10分钟，避免频繁回收);
6.等待超时调整为15000毫秒(原30000，快速释放无效等待连接);
7.即时回收设置为开(及时回收闲置连接，提升连接复用率)
·系统日志配置(基本属性):
1.开启异步日志保持默认开(避免日志阻塞业务线程);
2.缓冲队列大小调整为200000(原100000，提升日志缓冲能力);
3.轮询间隔保持500毫秒(平衡日志写入效率与资源占用)"
请求头大小限制与监控归零 (maxHttpHeaderSize & resetMonitorData),某政务系统因 JWT 导致 400 Bad Request 且报 Request header is too large。运维在 XML 手改参数后常被控制台重置，且网络监控指标数据过大导致页面卡顿。请给出闭环调优方案。,"1. 异常定位：PWC4662 错误明确指向 maxHttpHeaderSize 参数超过默认 8192 字节。
2. 配置持久化陷阱：在 TongWeb 7.0 的某些版本中，maxHttpHeaderSize 未在控制台界面展示，必须手工修改 conf/tongweb.xml。但由于 TongWeb 的配置管理机制，一旦在 Web 界面修改该通道的其他属性（如端口、线程数），系统会根据内存中的状态重写 XML，导致手工改动被覆盖回 8192。
3. 监控性能损耗：bytesSent 等指标巨大说明启用了 useNetworkMonitor。海量原子计数累加不仅导致 UI 渲染慢，更会在多核 CPU 间产生 Cache Line 竞争损耗性能。","1. 请求头扩容与防覆盖：将 maxHttpHeaderSize 调优至 32768（32KB）或更高。为规避覆盖，建议在修改 XML 后，如需通过控制台调整通道，必须再次核对 XML 中的该属性，或通过命令行 commandstool 执行更新操作以确保参数同步持久化。
2. 监控数据定期归零：开启 resetMonitorData=true。配置 resetMonitorDataPeriod=3600（每小时自动归零累计值）。这能确保监控数据反映实时动态，同时大幅减轻长整数累加操作对 CPU 缓存和管理页面渲染的压力。
3. 日志联动：在访问日志格式中加入 %D 记录处理时长，配合 accessLogEnabled=true 批量落盘（buffered=true），实现对大报文请求性能的离线审计。"
分批连接创建与连接寿命检查 (batchSize & maxAge),银行应用集群重启时导致 MySQL 崩溃，且运行 72 小时后出现僵死连接。此外，AJP 协议访问报 403 Forbidden。如何通过深度调优解决？,"1. 启动风暴成因：initialSize=100 且默认不限流（batchSize=0），导致重启瞬间海量 TCP 握手冲击 DB。
2. 僵死连接实质：testWhileIdle 虽然能心跳保活，但无法解决物理连接“老化”导致的驱动死锁或防火墙静默丢包。
3. AJP 安全鉴权：Ghostcat 漏洞后，AJP 协议强制要求 secret 密钥，否则代理服务器无法建立信任。","1. 分批创建平滑负载：维持 initialSize=100 以保证预热，但必须配置 batchSize=10（每批 10 个）和 batchInterval=1（间隔 1 秒）。这能将瞬间的 100 次建连压力分散到 10 秒内，避免因瞬间 CPU 冲高导致数据库拒绝服务。
2. 强制物理连接重建：配置 maxAge=3600000（1小时）。此参数不同于空闲检查，它会根据物理连接的绝对创建时间强制销毁重建，彻底规避因底层长连接老化导致的 Connection reset 风险。
3. AJP 密钥对齐：在 TongWeb 通道配置中显式设置 secret 属性。确保 THS 端的 worker.properties 中对应的 secret 字符串与之完全一致。同时，验证 allowedRequestAttributesPattern 是否放行了必要的代理属性。
4. 性能进阶：建议将数据源验证方式 connectionVerificationMode 统一设为 isValid，利用 JDBC 4.0 原生心跳代替 SELECT 1，进一步降低探测开销。"
JSP 标签泄露 (limitJSPTagBuffer),应用包含大量使用复杂自定义标签（Taglib）的 JSP 页面，系统运行一段时间后年轻代 GC 频繁且响应毛刺严重，如何从容器层面治理？,TongWeb 为提高 JSP 处理效率，默认会建立标签池（enablePooling=true）。但在处理极其复杂的嵌套标签时，JSP 标签缓存区（JSPTagBufferSize）会随请求复杂度动态扩容。如果默认不进行重置，这些大对象会长期占驻堆内存，造成碎片化和 GC 压力。,在“全局配置”中开启 limitJSPTagBuffer=true。该参数能确保当实际使用的缓存超过设定的 JSPTagBufferSize（默认 512 字符）后，在请求结束后强制重置缓冲区到初始状态。这种调优能够以微小的重新初始化性能开销，换取系统长久运行下的内存稳定性，彻底解决复杂 JSP 导致的内存残留问题。
虚拟线程调度 (useVirtualThreads & parallelism),在开启虚拟线程（useVirtualThreads=true）后，如果应用中存在较多 CPU 密集型任务，系统吞吐量反而下降，应如何协同优化？,虚拟线程主要解决 I/O 密集型阻塞，其底层调度依赖 JVM 的 ForkJoinPool。如果并发请求中混合了大量数学计算或复杂解析，底层平台线程会被占满。,在开启 useVirtualThreads=true 的同时（需确保 useSelfTuned=false），必须在启动参数中注入 JVM 调度微调：使用 -Djdk.virtualThreadScheduler.parallelism=xxx 来调整底层调度器的并行度。此外，若效果不理想，还可微调 -Djdk.virtualThreadScheduler.maxPoolSize 以适配物理 CPU 核心数，实现 I/O 与计算任务的高效错峰。
自调节线程优化 (useSelfTuned & queueSize),启用自调节线程池（useSelfTuned=true）后，系统对瞬间洪峰流量的反应依然迟钝，如何调优反馈链路？,"useSelfTuned 依赖业务请求处理速率来增减线程。但如果任务队列 queueSize 设得过大（默认 100,000），大量请求会积压在队列中，导致调度器认为“任务已被接收”而延迟创建新线程，产生反馈滞后。",配置 useSelfTuned=true 后，推荐将 queueSize 调优为较小值（如 500-1000）。当队列迅速填满后，自调节机制能更敏锐地捕捉到处理压力，从而快速扩容至 maxThreads 上限，显著提升在大促瞬时并发下的系统响应灵敏度。
资源零拷贝 (useSendfile),对于对外提供高清图片或大文件下载的应用，如何利用 TongWeb 通道减少 CPU 指令周期损耗？,传统文件读取需要经过“磁盘-内核缓冲区-用户缓冲区-网卡”的多次拷贝。开启 Send File 技术能实现内核态直接发送，大幅降低上下文切换开销。,在通道配置中开启 useSendfile=true。配套调优 sendfileSize（建议设为 48KB 以上触发）。注意：此功能生效条件是协议不能为 AJP，且通过该方式发送的文件将不再支持 HTTP 响应压缩功能，适合作为纯资源下载服务的极致调优项。
类加载索引策略 (archiveIndexStrategy),在部署包含上千个 JAR 依赖的超大型 WAR 应用时，启动耗时长达数分钟，如何通过索引优化提速？,TongWeb 默认使用 SIMPLE 策略在启动时扫描资源。在高密度依赖环境下，全量扫描会造成剧烈的磁盘 I/O。,推荐配置 archiveIndexStrategy 为 BLOOM 或 PURGED。BLOOM 模式使用布隆过滤器来优化资源文件索引查找效率；PURGED 则更进一步，允许在运行时清除已归档文件的查找缓存，从而在不牺牲功能的前提下，将启动和类查找时间压降 30% 以上。
安全域锁定调优 (lockOutTime & failureCount),在高性能认证环境下，如何平衡管理控制台的“防暴力破解”与“管理员误操作恢复”？,控制台安全策略会锁定认证失败的用户。如果 lockOutTime 设置过长，在紧急生产排障时管理员误输密码会导致长时间无法再次尝试。,调优 consolesecurity 模块的 failureCount（默认 5 次）和 lockOutTime（默认 300 秒）。建议根据生产安全规范调整：在高可用敏感环境下，可适当缩短 lockOutTime 至 60 秒，并结合 sessionTimeout（默认 15 分钟）来确保会话资源的及时回收。
分布式事务合并 (tmJoinEnabled),在 JTA 管理的分布式事务中，如何减少针对同一数据库建立重复物理事务分支的性能开销？,同一个全局事务内，如果应用多次 lookup 同一个数据源，默认会产生多个事务分支，增加数据库两阶段提交的锁定成本。,确保 JTA 事务配置中的 tmJoinEnabled=true（默认即开启）。该参数会根据数据库驱动的探测状态，尝试将多个指向同一数据库的操作归并入一个事务分支，从而显著降低事务内部协调开销，提升分布式场景下的 TPS。
